2026/04/25 18:48:34 ✅ Connected to Stream. Waiting for Market Data...
2026/04/25 18:48:34 --- Current 1777114114331 ---
2026/04/25 18:48:34 --- Current 1777114114832 ---
2026/04/25 18:48:35 --- Current 1777114115335 ---
2026/04/25 18:48:35 --- Current 1777114115838 ---
2026/04/25 18:48:36 --- Current 1777114116340 ---
2026/04/25 18:48:36 --- Current 1777114116843 ---
2026/04/25 18:48:37 --- Current 1777114117345 ---
2026/04/25 18:48:37 --- Current 1777114117849 ---
2026/04/25 18:48:38 --- Current 1777114118351 ---
2026/04/25 18:48:38 --- Current 1777114118853 ---
2026/04/25 18:48:39 --- Current 1777114119356 ---
2026/04/25 18:48:39 --- Current 1777114119861 ---
2026/04/25 18:48:40 --- Current 1777114120363 ---
2026/04/25 18:48:40 --- Current 1777114120866 ---
2026/04/25 18:48:41 --- Current 1777114121368 ---
2026/04/25 18:48:41 --- Current 1777114121871 ---
2026/04/25 18:48:42 --- Current 1777114122373 ---
2026/04/25 18:48:42 --- Current 1777114122879 ---
2026/04/25 18:48:43 --- Current 1777114123382 ---
2026/04/25 18:48:43 --- Current 1777114123884 ---
2026/04/25 18:48:44 --- Current 1777114124386 ---
2026/04/25 18:48:44 --- Current 1777114124889 ---
2026/04/25 18:48:45 --- Current 1777114125391 ---
2026/04/25 18:49:34 ✅ Connected to Stream. Waiting for Market Data...
2026/04/25 18:49:34 --- Current 1777114174870 ---
2026/04/25 18:49:35 --- Current 1777114175372 ---
2026/04/25 18:49:35 --- Current 1777114175874 ---
2026/04/25 18:49:36 --- Current 1777114176376 ---
2026/04/25 18:49:36 --- Current 1777114176878 ---
2026/04/25 18:49:37 --- Current 1777114177381 ---
2026/04/25 18:49:37 --- Current 1777114177885 ---
2026/04/25 18:49:38 --- Current 1777114178389 ---
2026/04/25 18:49:38 --- Current 1777114178893 ---
2026/04/25 18:49:39 --- Current 1777114179396 ---
2026/04/25 18:49:39 --- Current 1777114179900 ---
2026/04/25 18:49:40 --- Current 1777114180404 ---
2026/04/25 18:49:40 --- Current 1777114180907 ---
2026/04/25 18:49:41 --- Current 1777114181409 ---
2026/04/25 18:49:41 --- Current 1777114181910 ---
2026/04/25 18:49:42 --- Current 1777114182415 ---
2026/04/25 18:49:42 --- Current 1777114182921 ---
2026/04/25 18:49:43 --- Current 1777114183424 ---
2026/04/25 18:49:43 --- Current 1777114183925 ---
2026/04/25 18:49:44 --- Current 1777114184428 ---
2026/04/25 18:49:44 --- Current 1777114184930 ---
2026/04/25 18:49:45 --- Current 1777114185435 ---
2026/04/25 18:49:45 --- Current 1777114185938 ---
2026/04/25 18:49:46 --- Current 1777114186440 ---
2026/04/25 18:49:46 --- Current 1777114186942 ---
2026/04/25 18:49:47 --- Current 1777114187445 ---
2026/04/25 18:49:47 --- Current 1777114187948 ---
2026/04/25 18:49:48 --- Current 1777114188450 ---
2026/04/25 18:49:48 --- Current 1777114188953 ---
2026/04/25 18:49:49 --- Current 1777114189456 ---
2026/04/25 18:49:49 --- Current 1777114189959 ---
2026/04/25 18:49:50 --- Current 1777114190462 ---
2026/04/25 18:49:50 --- Current 1777114190965 ---
2026/04/25 18:49:51 --- Current 1777114191466 ---
2026/04/25 18:49:51 --- Current 1777114191968 ---
2026/04/25 18:49:52 --- Current 1777114192470 ---
2026/04/25 18:49:52 --- Current 1777114192972 ---
2026/04/25 18:49:53 --- Current 1777114193475 ---
2026/04/25 18:49:53 --- Current 1777114193977 ---
2026/04/25 18:49:54 --- Current 1777114194480 ---
2026/04/25 18:49:54 --- Current 1777114194989 ---
2026/04/25 18:49:55 --- Current 1777114195491 ---
2026/04/25 18:49:55 --- Current 1777114195993 ---
2026/04/25 18:49:56 --- Current 1777114196496 ---
2026/04/25 18:49:56 Stream error: rpc error: code = Unavailable desc = error reading from server: EOF
2026/04/25 18:50:03 ✅ Connected to Stream. Waiting for Market Data...
2026/04/25 18:50:03 --- Current 1777114203850 ---
2026/04/25 18:50:03 [GRTUSDT] OBI: 0.26566703548998466 | Updated: 1777114202580 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [SANDUSDT] OBI: -0.31516045319098535 | Updated: 1777114202687 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [TRXUSDT] OBI: 0.12956717472804377 | Updated: 1777114202558 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [SOLUSDT] OBI: 0.11793945156447415 | Updated: 1777114202686 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [DOGEUSDT] OBI: 0.11696016135633448 | Updated: 1777114202669 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [AVAXUSDT] OBI: -0.13210853931226205 | Updated: 1777114202581 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [BCHUSDT] OBI: 0.16485994663570486 | Updated: 1777114202669 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [ICPUSDT] OBI: -0.03953108244578401 | Updated: 1777114202684 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [VETUSDT] OBI: -0.11424388422638013 | Updated: 1777114202586 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [ATOMUSDT] OBI: 0.1558807083323821 | Updated: 1777114202685 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [ALGOUSDT] OBI: 0.11209520481100134 | Updated: 1777114202662 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [BNBUSDT] OBI: 0.3661893200732249 | Updated: 1777114202604 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [XRPUSDT] OBI: 0.15234634496947477 | Updated: 1777114202608 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [DOTUSDT] OBI: 0.12249386758363029 | Updated: 1777114202684 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [AAVEUSDT] OBI: -0.04579809249595103 | Updated: 1777114202609 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [ETCUSDT] OBI: -0.193167122813107 | Updated: 1777114202668 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [LINKUSDT] OBI: -0.13808540508953776 | Updated: 1777114202587 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [XMRUSDT] OBI: -0.11200047786870555 | Updated: 1777114202686 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [ETHUSDT] OBI: 0.13652352134716314 | Updated: 1777114202605 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [ADAUSDT] OBI: 0.13631484566571195 | Updated: 1777114202609 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [BTCUSDT] OBI: -0.26023548853542666 | Updated: 1777114202683 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [LTCUSDT] OBI: 0.019858671324859616 | Updated: 1777114202499 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [XLMUSDT] OBI: 0.22944208143514247 | Updated: 1777114202688 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [QNTUSDT] OBI: 0.29333333333333333 | Updated: 1777114202662 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [FILUSDT] OBI: 0.09291953691279806 | Updated: 1777114202666 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [NEARUSDT] OBI: 0.094630280102477 | Updated: 1777114202603 | ProcessTs: 1777114203375
2026/04/25 18:50:03 [UNIUSDT] OBI: -0.020383520070954952 | Updated: 1777114202605 | ProcessTs: 1777114203375
2026/04/25 18:50:04 --- Current 1777114204352 ---
2026/04/25 18:50:04 [XRPUSDT] OBI: 0.2039531045092532 | Updated: 1777114203291 | ProcessTs: 1777114204113
2026/04/25 18:50:04 [UNIUSDT] OBI: -0.02237802100619851 | Updated: 1777114203363 | ProcessTs: 1777114204113
2026/04/25 18:50:04 [ETCUSDT] OBI: -0.19316489252224905 | Updated: 1777114203186 | ProcessTs: 1777114204113
2026/04/25 18:50:04 [ALGOUSDT] OBI: 0.07148498134135456 | Updated: 1777114203337 | ProcessTs: 1777114204113
2026/04/25 18:50:04 [NEARUSDT] OBI: 0.09443830940947227 | Updated: 1777114203151 | ProcessTs: 1777114204113
2026/04/25 18:50:04 [SANDUSDT] OBI: -0.33098541591273795 | Updated: 1777114203315 | ProcessTs: 1777114204113
